f: 19; t: 80; h1: 166; h2: 166; x1: 148; x2: 168
f: 20; t: 71; h1: 145; h2: 150; x1: 148; x2: 168
f: 21; t: 61; h1: 124; h2: 139; x1: 148; x2: 168
f: 22; t: 48; h1: 106; h2: 139; x1: 148; x2: 168
f: 23; t: 34; h1: 106; h2: 70; x1: 148; x2: 168
f: 24; t: 25; h1: 106; h2: 64; x1: 148; x2: 168
f: 25; t: 17; h1: 106; h2: 58; x1: 148; x2: 168
f: 26; t: 5; h1: 106; h2: 34; x1: 148; x2: 168
f: 27; t: 80; h1: 106; h2: 29; x1: 148; x2: 168
f: 28; t: 89; h1: 166; h2: 166; x1: 146; x2: 175
f: 29; t: 82; h1: 166; h2: 166; x1: 146; x2: 174
f: 30; t: 81; h1: 166; h2: 166; x1: 51; x2: 79
