f: 22; t: 83; h1: 166; h2: 166; x1: 50; x2: 171
f: 23; t: 69; h1: 166; h2: 166; x1: 54; x2: 173
f: 24; t: 56; h1: 166; h2: 68; x1: 148; x2: 168
f: 25; t: 49; h1: 166; h2: 22; x1: 148; x2: 168
f: 26; t: 43; h1: 166; h2: 22; x1: 146; x2: 165
f: 27; t: 34; h1: 125; h2: 22; x1: 163; x2: 165
f: 28; t: 25; h1: 125; h2: 22; x1: 163; x2: 165
f: 29; t: 19; h1: 113; h2: 22; x1: 58; x2: 158
f: 30; t: 15; h1: 113; h2: 22; x1: 58; x2: 158
f: 31; t: 5; h1: 113; h2: 22; x1: 53; x2: 73
f: 32; t: 80; h1: 113; h2: 19; x1: 165; x2: 174
f: 33; t: 87; h1: 166; h2: 166; x1: 54; x2: 77
