f: 95; t: 85; h1: 166; h2: 166; x1: 149; x2: 168
f: 96; t: 76; h1: 166; h2: 166; x1: 53; x2: 173
f: 97; t: 65; h1: 166; h2: 97; x1: 148; x2: 168
f: 98; t: 57; h1: 166; h2: 91; x1: 148; x2: 168
f: 99; t: 50; h1: 166; h2: 91; x1: 148; x2: 168
f: 100; t: 44; h1: 166; h2: 70; x1: 148; x2: 168
f: 101; t: 39; h1: 166; h2: 70; x1: 148; x2: 168
f: 102; t: 27; h1: 148; h2: 64; x1: 148; x2: 168
f: 103; t: 14; h1: 94; h2: 58; x1: 148; x2: 168
f: 104; t: 4; h1: 92; h2: 58; x1: 148; x2: 168
f: 105; t: 80; h1: 92; h2: 58; x1: 148; x2: 168
f: 106; t: 89; h1: 166; h2: 166; x1: 152; x2: 171
f: 107; t: 80; h1: 166; h2: 166; x1: 151; x2: 175
f: 108; t: 79; h1: 166; h2: 166; x1: 149; x2: 168
