f: 62; t: 81; h1: 166; h2: 166; x1: 51; x2: 79
f: 63; t: 65; h1: 166; h2: 166; x1: 148; x2: 168
f: 64; t: 51; h1: 166; h2: 61; x1: 148; x2: 168
f: 65; t: 43; h1: 148; h2: 61; x1: 148; x2: 168
f: 66; t: 38; h1: 148; h2: 61; x1: 148; x2: 168
f: 67; t: 29; h1: 148; h2: 50; x1: 148; x2: 168
f: 68; t: 21; h1: 148; h2: 50; x1: 148; x2: 168
f: 69; t: 9; h1: 140; h2: 50; x1: 148; x2: 168
f: 70; t: 80; h1: 140; h2: 47; x1: 148; x2: 168
f: 71; t: 11; h1: 140; h2: 47; x1: 152; x2: 176
f: 72; t: 85; h1: 166; h2: 166; x1: 78; x2: 152
f: 73; t: 83; h1: 166; h2: 160; x1: 152; x2: 172
f: 74; t: 72; h1: 166; h2: 160; x1: 148; x2: 168
f: 75; t: 63; h1: 153; h2: 142; x1: 148; x2: 168
f: 76; t: 54; h1: 153; h2: 136; x1: 148; x2: 168
f: 77; t: 42; h1: 147; h2: 130; x1: 148; x2: 168
f: 78; t: 31; h1: 141; h2: 112; x1: 148; x2: 168
f: 79; t: 20; h1: 141; h2: 94; x1: 148; x2: 168
f: 80; t: 7; h1: 141; h2: 94; x1: 148; x2: 168
f: 81; t: 80; h1: 141; h2: 94; x1: 148; x2: 168
