f: 1; t: 80; h1: 166; h2: 166; x1: 53; x2: 65
f: 2; t: 71; h1: 166; h2: 166; x1: 154; x2: 174
f: 3; t: 66; h1: 157; h2: 166; x1: 50; x2: 78
f: 4; t: 57; h1: 157; h2: 120; x1: 148; x2: 168
f: 5; t: 48; h1: 157; h2: 61; x1: 148; x2: 168
f: 6; t: 43; h1: 157; h2: 42; x1: 68; x2: 168
f: 7; t: 37; h1: 157; h2: 42; x1: 148; x2: 168
f: 8; t: 30; h1: 104; h2: 42; x1: 148; x2: 168
f: 9; t: 27; h1: 104; h2: 0; x1: 148; x2: 168
